40,S F,28/04/22,5,"We contracted for our new fence back in Nov 2021 and Danielle fence installed our new fence on 4/20/22. But the wait was worth it! They came all the way up to Spring Hill Fl to install our new fence for our New Custom Home. Callie our German Shepherd couldn't be happier! She hates a leash and now can run like the wind around back yard! They did it in one day! Amazing, and the Forman was very focused on customer satisfaction! We highly recommend Danielle Fence! Thank you!"
42,Justin Miller,07/06/22,5,
46,Johnny Mcdaniel,26/06/22,5,
47,bryson melvin,07/07/22,5,
48,Rosie Wendell,15/07/22,5,They did a great job! Very professional and up front about the entire process. The installers were hard working and obviously care about doing their job well.
49,Jack Mcclellan,16/07/22,5,"Had the Adobe commercial grade fence installed.  Beautiful fence,high quality, best sturdiness of any pvc fence I have ever seen.

Crew was on time,professional, did a tremendous job.  When they left the entire area was spotless.  They even took the time to wipe the entire fence down to remove any sand and loose grass.  I highly recommend  this company."
50,Joshua Tomlinson,18/07/22,5,
52,gale carter,27/09/22,5,Great company
53,Juan ivan Martinez,28/09/22,5,
54,Sharon Smith,09/10/22,5,I recommend Danielle Fence & Outdoor Living to my friends and family because they did a excellent job on the installation of my Fence.
55,George Morgan,10/10/22,5,"This business is great. I had some fence damage due to hurricane Ian and needed a post fory gate.  I went to two other businesses with no luck.  I was directed to Daniel Fence & Outdoor Living.  The receptionist was very friendly and the gentleman that helped me (Rob, I believe) was extremely knowledgeable.  They had my order drilled and ready in less than three days.  If you need it done and need it done right ( the post fit perfectly) go to this location."
57,Sharath Pillai,16/11/22,5,Good company. Mathias and crew were professional and respectful.
58,Kimmy L.,14/12/22,5,
59,Mary Underwood,19/12/22,5,"Ask for Luis to build your fence. I explained that I did not want the dogs to be able to even see under the fence. They worked so hard to do that. It was not easy, but they did it."
62,keith smith,09/01/23,5,
63,Daphne Brown,27/01/23,5,"Great assistance from Tom. Great installation"
64,carol sill,13/02/23,5,
65,Brandon Viruet,19/02/23,5,Built really well.
66,lihwa Carl,04/03/23,5,"Hurricane Ian damaged about 80-fet of my aluminum fencing. Called Danielle Fencing for help. They made sure I got an exact match to what I had already. The crew arrived on-time and did the work rapidly. Outstanding effort, and I got better than I hoped for. I wouldn't even consider using anyone else in the future."
67,Gelvys Jeronimo,13/03/23,5,
68,robert warren,31/03/23,5,Had exactly what I needed after one of my guys dropped a log and broke homeowners fence
69,Dale,24/04/23,5,"In April 2023 I worked with Rhonda to select and purchase some vinyl fencing for a small DIY project. Rhonda was extremally helpful. She answered all my questions and showed me the different fence styles in their display areas. She never made me feel like my small sale was a waste of her time.

When picking up the items I needed, the yard crew was also very friendly and got my fencing materials loaded on to my trailer quickly.
Dale Austin"
71,Alyssa Hryniewich,08/06/23,5,"I had a very good experience with Danielle Fence. From the beginning to the end it was extremely professional and great communication. Sue took care of pretty much everything from the beginning with the paperwork required and permit we needed, and Lisa in scheduling was great as well! The install crew was on time the day of service and told me exactly what they were going to do and how long it would take. The gate had to be custom made and the crew leader said it may be up to two days more for that to come and be put in, but it didn’t take that long. They were able to get it put in that same afternoon! Also, when I needed some dirt put back in where the posts were installed, the crew came out the next day to fix the issue. I would definitely recommend this business to anyone needing a fence installed!"
72,Patricia Schimanski,01/08/23,5,"The crew was so amazing, they did a fantastic job and so nice. I would highly recommend them. I posted this for my dad (R. Mccann)"
77,a k,12/01/24,5,"Once again Danielle Fence company has proven themselves to be the best company. The workers were experienced and knowledgeable of the job and worked together to install my fence and gates.I don't know who was the happiest, me or them! Danielle Fence uses quality materials that stand up to our Florida weather as well as ages (wooden fence) beautifully. I am a repeat customer and proud to be one! You can rely on this company every time.  Thank you Danielle Fence!"
78,Kimberley Hasness,23/01/24,5,"Great company to work with!  Everyone from salesperson to installers very pleasant to work with.  Any questions or concerns were addressed quickly.  Installation was seamless and our yard was left perfect and totally cleared of any materials, debris and trash.  Our pups love having their own space to run and play."
79,El M,23/01/24,5,"Danielle Fence does great work! All the people are helpful and respectful. They are detail-oriented and tailor the job to the customer.  If you're looking for quality workmanship, hire Danielle Fence."
80,Randy Santiago,24/01/24,5,Always our place to turn to when we need fencing. Have been a customer since 2005
81,Rod Sapyta,25/01/24,5,I have known Paul one of the owners since 1998 He was on one of my Federal Express/ UPS routes over the years and I have been using his services since I recommend you contact them for any Fencing or outdoor service 🙏🇺🇸❤️
82,Kristin Duncan,25/01/24,5,We love our Outdoor Kitchen from Danielle!  From start to finish everyone was great to deal with. The finished product was beyond our expectations.  Our new Outdoor Kitchen ties in perfect to our lanai and has given us a beautiful gathering spot for friends and family.  Thank you Danielle Fence!
84,Matthew McCraw,31/01/24,5,Great product and great installation of our fence at First Baptist Church of Bartow.
85,Taylor Giese,31/01/24,5,Amazing experience. They helped me with the HOA approval and got my fence installed in a timely manner. The fence looks incredible. They always answered when I called or emailed. Will be referring them!
87,Zachary Mace,13/02/24,5,On Time Very Well Installed.  Install Crew was very neat and Professional  Office is fast to respond with questions or concerns
88,Fred Koehler,14/02/24,5,"Danielle Fence went above and beyond when, due to my mistake, the fence was a little too close to the house. They got us sorted with a smile and still thanked us for our business even though they had to do extra work. Highly recommended."
89,Pat Welshon,14/02/24,5,"We enjoyed working with Danielle Fence!  Thom Simon in Sales was polite and professional, and provided a quote for exactly what was needed. Our HOA process is quite grueling, and Sue Helms provided everything we needed so our application was approved quickly.  The install team arrived on time and finished the same day.  They cleaned up our yard before leaving.  We love our new fence and gates!"
91,David Perry,23/02/24,5,Get company. Kept me informed of schedule and came on time. Installers did a great job. Satisfied customer
92,Celeste Lee,24/02/24,5,"Great work! Love my new vinyl fencing!"
93,Philip Rowlette,01/03/24,5,We are very pleased with our new fence! The team at Danielle Fence is a pleasure to work with. Everyone is professional and knowledgeable and we look forward to working with them again!
94,Eugene Fultz,01/03/24,5,"The whole process was a pleasant experience, and the finished product is beautiful. Everyone that I spoke too or dealt with was very professional and polite."
95,Machado's Calendar,04/03/24,5,"What can we say about Danielle Fence except that they’re absolutely AMAZING! Starting with Kevin, Rhonda, Sue, Lisa, the job foreman, the guys doing the actual install, this entire team are the real deal. The level of kindness, professIonalism, hard work, level of detail more than surpassed our expectations!  This was the first time we actually had to go through the HOA process and Sue made it so seamless! Sue worked proactively in getting all the paperwork needed for the HOA approval ready even before I submitted to the HOA. The turnaround time for the HOA is typically 45 days and with Sue’s help, it literally was ALL completed in under a month. THANK YOU ALL for making the entire process for us so painless!"
96,Jessica Hatch,14/03/24,5,"Very happy with our wood fence installed by Danielle. Thom was knowledgeable and helped us pick what worked best for our needs. The install team were efficient, experts at their craft and friendly. Our fence was done ahead of schedule and we were kept well informed of all the steps along the way. Highly recommend Danielle fence."
97,Debbie Erturk,20/03/24,5,"They were very professional and clean.  After our fence was installed they were careful to hose everything down so it looked bright and clean.  Edwin, Oleyario and Marice were courteous polite and efficient.  I highly recommend Danielle Fence."
98,Varughese Maxmillian,22/03/24,5,"Danielle fence is very reliable and friendly. From the beginning to end, they were very professional and courteous. Explain everything to complete the job. The supervisor (Mark) and the entire team awesome. I actually recommend them to my neighbors as well. Thank you., Danielle Fence."
99,Bailey Watts,26/03/24,5,"Danielle Fence did an amazing job with our white vinyl fence! Thom was very easy to communicate with when we were getting our quote, and really took the time to explain all the ins and outs to us. The lead time was unbeatable as well. They originally told us 4-8 weeks, but they were able to get us on the schedule in 2! Everyone was very friendly and helpful, and the crew that came to install the fence was phenomenal. They arrived right on time at 7:30 am, and despite a few unexpected delays, which were handled quickly and efficiently, they were finished with the whole thing by 3:00 the same day. I would absolutely recommend this company to anyone in the area needing a fence, and would definitely hire them again!"
100,Ryan Schiff,28/03/24,5,Great process from start to finish. The entire team was fantastic!
